Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Customer_no,Segment,Segment_no,Country,City,State,State_no,Postal Code,Region,Region_no,Product ID,Category,Category_no,Sub-Category,Sub-Category_no,Product Name,Product Name_no,Sales,Quantity,Discount,Profit,Returned
3043,CA-2017-149559,11/09/2017,12/09/2017,Same Day,KF-16285,Karen Ferguson,11,Home Office,3,United States,Long Beach,California,4,90805,West,2,OFF-EN-10002312,Office Supplies,2,Envelopes,2,#10 Self-Seal White Envelopes,2,22.18,2,0,10.8682,FALSE
7798,CA-2017-166184,24/03/2017,27/03/2017,First Class,HR-14830,Harold Ryan,12,Corporate,2,United States,New York City,New York,31,10035,East,3,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,47.01,3,0,22.0947,FALSE
4445,US-2014-147704,16/11/2014,21/11/2014,Standard Class,SR-20740,Steven Roelle,13,Home Office,3,United States,Bloomington,Indiana,13,47401,Central,4,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,78.35,5,0,36.8245,FALSE
8762,CA-2016-159891,31/01/2016,06/02/2016,Standard Class,BF-11170,Ben Ferrer,14,Home Office,3,United States,Atlanta,Georgia,10,30318,South,1,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,125.36,8,0,58.9192,FALSE
2500,US-2017-133781,22/06/2017,23/06/2017,First Class,DC-12850,Dan Campbell,15,Consumer,1,United States,Miami,Florida,9,33178,South,1,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,37.608,3,0.2,12.6927,FALSE
9967,CA-2016-146374,05/12/2016,10/12/2016,Second Class,HE-14800,Harold Engle,16,Corporate,2,United States,Newark,Delaware,7,19711,East,3,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,109.69,7,0,51.5543,FALSE
4933,CA-2015-106978,28/09/2015,04/10/2015,Standard Class,ZC-21910,Zuschuss Carroll,17,Consumer,1,United States,Aurora,Colorado,5,80013,West,2,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,12.536,1,0.2,4.2309,FALSE
3163,CA-2014-153969,21/09/2014,25/09/2014,Standard Class,HF-14995,Herbert Flentye,18,Consumer,1,United States,San Francisco,California,4,94109,West,2,OFF-EN-10004483,Office Supplies,2,Envelopes,2,"#10 White Business Envelopes,4 1/8 x 9 1/2",3,78.35,5,0,36.8245,FALSE
986,CA-2017-100314,29/09/2017,05/10/2017,Standard Class,AS-10630,Ann Steele,19,Home Office,3,United States,Pasadena,Texas,42,77506,Central,4,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,27.968,4,0.2,9.4392,FALSE
4993,CA-2015-153038,18/12/2015,25/12/2015,Standard Class,RB-19645,Robert Barroso,20,Corporate,2,United States,Memphis,Tennessee,41,38109,South,1,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,55.936,8,0.2,18.8784,FALSE
7721,CA-2015-108588,05/01/2015,10/01/2015,Standard Class,BG-11695,Brooke Gillingham,21,Corporate,2,United States,New York City,New York,31,10009,East,3,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,17.48,2,0,8.2156,FALSE
1990,CA-2015-127509,09/11/2015,13/11/2015,Standard Class,AS-10090,Adam Shillingsburg,22,Consumer,1,United States,Springfield,Missouri,24,65807,Central,4,OFF-EN-10000781,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,26.22,3,0,12.3234,FALSE
5217,US-2017-159562,09/09/2017,15/09/2017,Standard Class,JB-16000,Joy Bell-,23,Consumer,1,United States,Roseville,Michigan,21,48066,Central,4,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,17.48,2,0,8.2156,FALSE
4379,CA-2015-140830,30/11/2015,02/12/2015,Second Class,PS-18970,Paul Stevenson,24,Home Office,3,United States,Henderson,Kentucky,16,42420,South,1,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,17.48,2,0,8.2156,FALSE
6302,US-2014-161305,06/06/2014,12/06/2014,Standard Class,SB-20170,Sarah Bern,25,Consumer,1,United States,Chicago,Illinois,12,60623,Central,4,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,13.984,2,0.2,4.7196,FALSE
5689,CA-2014-131541,28/07/2014,28/07/2014,Same Day,CK-12205,Chloris Kastensmidt,26,Consumer,1,United States,Apopka,Florida,9,32712,South,1,OFF-EN-10000781,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,48.944,7,0.2,16.5186,FALSE
2949,CA-2017-169859,14/12/2017,18/12/2017,Standard Class,MP-18175,Mike Pelletier,27,Home Office,3,United States,San Diego,California,4,92024,West,2,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,43.7,5,0,20.539,TRUE
2447,CA-2015-100573,25/09/2015,01/10/2015,Standard Class,AM-10705,Anne McFarland,28,Consumer,1,United States,Los Angeles,California,4,90004,West,2,OFF-EN-10000461,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",4,17.48,2,0,8.2156,FALSE
3138,CA-2017-164168,12/11/2017,18/11/2017,Standard Class,LS-16975,Lindsay Shagiari,29,Home Office,3,United States,Dallas,Texas,42,75081,Central,4,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,12.224,2,0.2,4.4312,FALSE
4910,CA-2017-127306,14/01/2017,18/01/2017,Standard Class,BH-11710,Brosina Hoffman,30,Consumer,1,United States,Johnson City,Tennessee,41,37604,South,1,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,18.336,3,0.2,6.6468,TRUE
712,CA-2017-146136,03/09/2017,07/09/2017,Standard Class,AP-10915,Arthur Prichep,31,Consumer,1,United States,Palm Coast,Florida,9,32137,South,1,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,24.448,4,0.2,8.8624,FALSE
1229,CA-2017-100013,06/11/2017,11/11/2017,Standard Class,ZC-21910,Zuschuss Carroll,17,Consumer,1,United States,Los Angeles,California,4,90045,West,2,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,15.28,2,0,7.4872,FALSE
5315,CA-2017-137876,30/04/2017,05/05/2017,Standard Class,DJ-13510,Don Jones,32,Corporate,2,United States,San Francisco,California,4,94110,West,2,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,30.56,4,0,14.9744,FALSE
9174,US-2016-155768,01/12/2016,01/12/2016,Same Day,LB-16795,Laurel Beltran,33,Home Office,3,United States,Oxnard,California,4,93030,West,2,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,22.92,3,0,11.2308,FALSE
6215,CA-2014-128538,11/10/2014,15/10/2014,Standard Class,AS-10240,Alan Shonely,34,Consumer,1,United States,Redondo Beach,California,4,90278,West,2,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,7.64,1,0,3.7436,FALSE
4534,CA-2014-140403,10/10/2014,10/10/2014,Same Day,TN-21040,Tanja Norvell,35,Home Office,3,United States,Manteca,California,4,95336,West,2,OFF-EN-10001219,Office Supplies,2,Envelopes,2,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",5,15.28,2,0,7.4872,FALSE
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,36,Home Office,3,United States,Houston,Texas,42,77041,Central,4,OFF-EN-10002986,Office Supplies,2,Envelopes,2,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",6,113.328,9,0.2,35.415,FALSE
1491,CA-2017-151911,30/04/2017,05/05/2017,Second Class,DL-13495,Dionis Lloyd,37,Corporate,2,United States,New York City,New York,31,10024,East,3,OFF-EN-10002986,Office Supplies,2,Envelopes,2,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",6,62.96,4,0,28.332,FALSE
5673,CA-2017-127922,27/10/2017,03/11/2017,Standard Class,SH-19975,Sally Hughsby,38,Corporate,2,United States,Dallas,Texas,42,75081,Central,4,OFF-EN-10003068,Office Supplies,2,Envelopes,2,#6 3/4 Gummed Flap White Envelopes,7,15.84,2,0.2,5.544,FALSE
7264,CA-2017-156363,22/10/2017,28/10/2017,Standard Class,ML-17395,Marina Lichtenstein,39,Corporate,2,United States,Philadelphia,Pennsylvania,37,19134,East,3,OFF-EN-10003068,Office Supplies,2,Envelopes,2,#6 3/4 Gummed Flap White Envelopes,7,31.68,4,0.2,11.088,FALSE
9572,CA-2015-113131,24/09/2015,24/09/2015,Same Day,MB-17305,Maria Bertelson,40,Consumer,1,United States,Columbus,Ohio,34,43229,East,3,OFF-EN-10003068,Office Supplies,2,Envelopes,2,#6 3/4 Gummed Flap White Envelopes,7,15.84,2,0.2,5.544,FALSE
4336,CA-2015-154795,20/12/2015,24/12/2015,Standard Class,GZ-14470,Gary Zandusky,41,Consumer,1,United States,Bullhead City,Arizona,2,86442,West,2,OFF-EN-10003068,Office Supplies,2,Envelopes,2,#6 3/4 Gummed Flap White Envelopes,7,7.92,1,0.2,2.772,FALSE
2010,CA-2014-116407,15/11/2014,21/11/2014,Standard Class,JF-15190,Jamie Frazer,42,Consumer,1,United States,Johnson City,Tennessee,41,37604,South,1,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,333.056,2,0.2,29.1424,FALSE
2315,CA-2017-122035,20/07/2017,25/07/2017,Standard Class,EM-13825,Elizabeth Moffitt,43,Corporate,2,United States,Sioux Falls,South Dakota,40,57103,Central,4,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,416.32,2,0,112.4064,FALSE
2969,CA-2017-167941,06/11/2017,09/11/2017,Second Class,JF-15565,Jill Fjeld,9,Consumer,1,United States,Fayetteville,North Carolina,32,28314,South,1,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,499.584,3,0.2,43.7136,FALSE
5616,CA-2016-158001,23/08/2016,27/08/2016,Standard Class,JP-15460,Jennifer Patt,44,Corporate,2,United States,New York City,New York,31,10035,East,3,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,1040.8,5,0,281.016,FALSE
7013,US-2014-135881,23/05/2014,27/05/2014,Standard Class,GT-14710,Greg Tran,45,Consumer,1,United States,New York City,New York,31,10035,East,3,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,208.16,1,0,56.2032,FALSE
80,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,Stewart Carmichael,46,Corporate,2,United States,Decatur,Alabama,1,35601,South,1,OFF-AP-10002118,Office Supplies,2,Appliances,3,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",8,208.16,1,0,56.2032,FALSE
9736,CA-2014-128062,19/11/2014,22/11/2014,Second Class,AD-10180,Alan Dominguez,47,Home Office,3,United States,Philadelphia,Pennsylvania,37,19134,East,3,OFF-PA-10001583,Office Supplies,2,Paper,1,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",9,5.88,1,0.2,1.9845,FALSE
8816,CA-2015-144274,23/11/2015,25/11/2015,Second Class,PW-19240,Pierre Wener,48,Consumer,1,United States,Wilmington,Delaware,7,19805,East,3,OFF-PA-10001583,Office Supplies,2,Paper,1,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",9,44.1,6,0,20.727,FALSE
1750,US-2014-157406,25/04/2014,29/04/2014,Standard Class,DA-13450,Dianna Arnett,49,Home Office,3,United States,Houston,Texas,42,77095,Central,4,OFF-AR-10002221,Office Supplies,2,Art,4,12 Colored Short Pencils,10,6.24,3,0.2,0.546,FALSE
1527,CA-2016-122392,22/07/2016,27/07/2016,Standard Class,CJ-12010,Caroline Jumper,50,Consumer,1,United States,Allentown,Pennsylvania,37,18103,East,3,OFF-AR-10002221,Office Supplies,2,Art,4,12 Colored Short Pencils,10,4.16,2,0.2,0.364,FALSE
6962,CA-2017-162096,10/11/2017,10/11/2017,Same Day,TB-21190,Thomas Brumley,51,Home Office,3,United States,Riverside,California,4,92503,West,2,OFF-AR-10002221,Office Supplies,2,Art,4,12 Colored Short Pencils,10,7.8,3,0,2.106,FALSE
8485,CA-2017-142391,24/09/2017,24/09/2017,Same Day,PB-19150,Philip Brown,52,Consumer,1,United States,Seattle,Washington,46,98115,West,2,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,199.8,10,0,71.928,FALSE
8832,CA-2015-145324,15/11/2015,19/11/2015,Standard Class,DH-13675,Duane Huffman,53,Home Office,3,United States,Harrisonburg,Virginia,45,22801,South,1,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,39.96,2,0,14.3856,FALSE
2720,CA-2014-110030,06/12/2014,08/12/2014,Second Class,LF-17185,Luke Foster,54,Consumer,1,United States,Houston,Texas,42,77095,Central,4,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,23.976,3,0.6,-14.3856,FALSE
2790,US-2014-117744,02/12/2014,06/12/2014,Standard Class,MD-17860,Michael Dominguez,55,Corporate,2,United States,Corpus Christi,Texas,42,78415,Central,4,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,39.96,5,0.6,-23.976,FALSE
9117,CA-2017-153045,19/01/2017,24/01/2017,Second Class,NS-18505,Neola Schneider,56,Consumer,1,United States,Philadelphia,Pennsylvania,37,19140,East,3,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,31.968,2,0.2,6.3936,FALSE
670,US-2017-106663,09/06/2017,13/06/2017,Standard Class,MO-17800,Meg O'Connel,57,Home Office,3,United States,Chicago,Illinois,12,60653,Central,4,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,23.976,3,0.6,-14.3856,FALSE
755,CA-2015-135272,07/12/2015,12/12/2015,Standard Class,MS-17830,Melanie Seite,58,Consumer,1,United States,Los Angeles,California,4,90036,West,2,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,79.92,4,0,28.7712,FALSE
2542,CA-2016-144792,30/04/2016,04/05/2016,Standard Class,KD-16615,Ken Dana,59,Corporate,2,United States,Scottsdale,Arizona,2,85254,West,2,FUR-FU-10002759,Furniture,1,Furnishings,5,12-1/2 Diameter Round Wall Clock,11,111.888,7,0.2,22.3776,FALSE
5530,CA-2017-136609,06/08/2017,11/08/2017,Standard Class,TB-21355,Todd Boyes,60,Corporate,2,United States,Cedar Hill,Texas,42,75104,Central,4,OFF-PA-10004381,Office Supplies,2,Paper,1,14-7/8 x 11 Blue Bar Computer Printout Paper,12,115.296,3,0.2,40.3536,FALSE
4756,CA-2017-126354,03/02/2017,08/02/2017,Standard Class,SC-20380,Shahid Collister,61,Consumer,1,United States,Pembroke Pines,Florida,9,33024,South,1,OFF-PA-10004381,Office Supplies,2,Paper,1,14-7/8 x 11 Blue Bar Computer Printout Paper,12,115.296,3,0.2,40.3536,FALSE
4945,CA-2016-151372,05/09/2016,06/09/2016,First Class,JH-15985,Joseph Holt,62,Consumer,1,United States,Redondo Beach,California,4,90278,West,2,OFF-PA-10004381,Office Supplies,2,Paper,1,14-7/8 x 11 Blue Bar Computer Printout Paper,12,96.08,2,0,46.1184,TRUE
4922,CA-2017-114055,25/12/2017,29/12/2017,Second Class,MH-18115,Mick Hernandez,63,Home Office,3,United States,Huntsville,Alabama,1,35810,South,1,OFF-PA-10004381,Office Supplies,2,Paper,1,14-7/8 x 11 Blue Bar Computer Printout Paper,12,96.08,2,0,46.1184,FALSE
6376,CA-2014-107811,29/04/2014,03/05/2014,Standard Class,LA-16780,Laura Armstrong,64,Corporate,2,United States,Memphis,Tennessee,41,38109,South,1,OFF-ST-10000798,Office Supplies,2,Storage,6,2300 Heavy-Duty Transfer File Systems by Perma,13,99.92,5,0.2,-1.249,FALSE
396,CA-2017-165603,17/10/2017,19/10/2017,Second Class,SS-20140,Saphhira Shifley,65,Corporate,2,United States,Warwick,Rhode Island,38,2886,East,3,OFF-ST-10000798,Office Supplies,2,Storage,6,2300 Heavy-Duty Transfer File Systems by Perma,13,49.96,2,0,9.4924,FALSE
6010,CA-2015-135580,30/12/2015,03/01/2016,Standard Class,CL-12565,Clay Ludtke,66,Consumer,1,United States,Los Angeles,California,4,90049,West,2,OFF-ST-10000798,Office Supplies,2,Storage,6,2300 Heavy-Duty Transfer File Systems by Perma,13,74.94,3,0,14.2386,TRUE
1424,CA-2015-124800,26/09/2015,30/09/2015,Standard Class,RW-19540,Rick Wilson,67,Corporate,2,United States,Mesa,Arizona,2,85204,West,2,OFF-ST-10000798,Office Supplies,2,Storage,6,2300 Heavy-Duty Transfer File Systems by Perma,13,119.904,6,0.2,-1.4988,FALSE
6555,CA-2014-137092,20/10/2014,22/10/2014,Second Class,LS-16975,Lindsay Shagiari,29,Home Office,3,United States,Chicago,Illinois,12,60653,Central,4,OFF-ST-10003805,Office Supplies,2,Storage,6,"24 Capacity Maxi Data Binder Racks, Pearl",14,505.32,3,0.2,31.5825,FALSE
4890,CA-2016-163167,28/11/2016,01/12/2016,Second Class,RF-19345,Randy Ferguson,68,Corporate,2,United States,Marietta,Georgia,10,30062,South,1,OFF-ST-10003805,Office Supplies,2,Storage,6,"24 Capacity Maxi Data Binder Racks, Pearl",14,1263.3,6,0,315.825,FALSE
4520,CA-2017-107167,10/06/2017,14/06/2017,Standard Class,ND-18460,Neil Ducich,69,Corporate,2,United States,Jacksonville,Florida,9,32216,South,1,OFF-ST-10003805,Office Supplies,2,Storage,6,"24 Capacity Maxi Data Binder Racks, Pearl",14,1347.52,8,0.2,84.22,FALSE
7104,CA-2017-147410,04/09/2017,08/09/2017,Standard Class,EJ-14155,Eva Jacobs,70,Consumer,1,United States,Santa Ana,California,4,92704,West,2,OFF-ST-10003805,Office Supplies,2,Storage,6,"24 Capacity Maxi Data Binder Racks, Pearl",14,421.1,2,0,105.275,FALSE
2632,US-2017-110604,15/05/2017,20/05/2017,Standard Class,JF-15295,Jason Fortune-,71,Consumer,1,United States,Seattle,Washington,46,98103,West,2,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,39.96,2,0,17.1828,FALSE
4667,CA-2016-116547,10/01/2016,17/01/2016,Standard Class,KB-16585,Ken Black,72,Corporate,2,United States,Seattle,Washington,46,98115,West,2,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,79.92,4,0,34.3656,TRUE
8850,CA-2015-140718,02/07/2015,04/07/2015,First Class,FA-14230,Frank Atkinson,73,Corporate,2,United States,Raleigh,North Carolina,32,27604,South,1,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,159.84,10,0.2,45.954,FALSE
2132,US-2014-114188,20/05/2014,22/05/2014,Second Class,RF-19345,Randy Ferguson,68,Corporate,2,United States,Dover,New Hampshire,28,3820,East,3,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,139.86,7,0,60.1398,FALSE
5582,CA-2017-163818,04/10/2017,08/10/2017,Standard Class,PS-18970,Paul Stevenson,24,Home Office,3,United States,Clinton,Maryland,19,20735,East,3,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,19.98,1,0,8.5914,FALSE
1235,CA-2016-144344,28/10/2016,28/10/2016,Same Day,PG-18820,Patrick Gardner,74,Consumer,1,United States,Boynton Beach,Florida,9,33437,South,1,FUR-FU-10000076,Furniture,1,Furnishings,5,24-Hour Round Wall Clock,15,47.952,3,0.2,13.7862,FALSE
5634,CA-2016-101742,23/09/2016,28/09/2016,Second Class,CR-12580,Clay Rozendal,75,Home Office,3,United States,New York City,New York,31,10009,East,3,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,10.528,7,0.2,3.6848,FALSE
767,CA-2014-162775,13/01/2014,15/01/2014,Second Class,CS-12250,Chris Selesnick,4,Corporate,2,United States,Bossier City,Louisiana,17,71111,South,1,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,5.64,3,0,2.7072,FALSE
1982,CA-2015-119592,14/12/2015,16/12/2015,Second Class,MM-18280,Muhammed MacIntyre,76,Corporate,2,United States,Columbus,Georgia,10,31907,South,1,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,3.76,2,0,1.8048,FALSE
4796,CA-2015-120516,13/08/2015,17/08/2015,Standard Class,CK-12595,Clytie Kelty,77,Consumer,1,United States,Marietta,Georgia,10,30062,South,1,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,5.64,3,0,2.7072,FALSE
2349,CA-2017-109701,02/12/2017,03/12/2017,Same Day,AM-10360,Alice McCarthy,78,Corporate,2,United States,Los Angeles,California,4,90032,West,2,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,9.024,6,0.2,3.1584,FALSE
2412,CA-2015-142041,07/06/2015,09/06/2015,Second Class,EM-13810,Eleni McCrary,79,Corporate,2,United States,Los Angeles,California,4,90036,West,2,OFF-BI-10004187,Office Supplies,2,Binders,7,3-ring staple pack,16,7.52,5,0.2,2.632,FALSE
1996,US-2017-147221,02/12/2017,04/12/2017,Second Class,JS-16030,Joy Smith,80,Consumer,1,United States,Houston,Texas,42,77036,Central,4,OFF-AP-10002534,Office Supplies,2,Appliances,3,3.6 Cubic Foot Counter Height Office Refrigerator,17,294.62,5,0.8,-766.012,FALSE
8877,US-2016-141264,13/08/2016,19/08/2016,Standard Class,CT-11995,Carol Triggs,81,Consumer,1,United States,Irving,Texas,42,75061,Central,4,OFF-AP-10002534,Office Supplies,2,Appliances,3,3.6 Cubic Foot Counter Height Office Refrigerator,17,58.924,1,0.8,-153.2024,FALSE
7349,CA-2014-130421,03/03/2014,07/03/2014,Standard Class,SC-20020,Sam Craven,82,Consumer,1,United States,Houston,Texas,42,77095,Central,4,OFF-AP-10002534,Office Supplies,2,Appliances,3,3.6 Cubic Foot Counter Height Office Refrigerator,17,176.772,3,0.8,-459.6072,FALSE
8772,CA-2017-115882,14/09/2017,17/09/2017,First Class,DB-13555,Dorothy Badders,83,Corporate,2,United States,Raleigh,North Carolina,32,27604,South,1,OFF-AP-10002534,Office Supplies,2,Appliances,3,3.6 Cubic Foot Counter Height Office Refrigerator,17,942.784,4,0.2,94.2784,FALSE
9187,CA-2017-156776,07/08/2017,11/08/2017,Standard Class,JL-15505,Jeremy Lonsdale,5,Consumer,1,United States,Westminster,California,4,92683,West,2,OFF-AP-10002534,Office Supplies,2,Appliances,3,3.6 Cubic Foot Counter Height Office Refrigerator,17,1473.1,5,0,412.468,FALSE
7188,CA-2017-133102,17/08/2017,24/08/2017,Standard Class,ED-13885,Emily Ducich,84,Home Office,3,United States,Houston,Texas,42,77095,Central,4,FUR-FU-10003247,Furniture,1,Furnishings,5,36X48 HARDFLOOR CHAIRMAT,18,16.784,2,0.6,-22.2388,FALSE
